ticker,industryEn,loanDeposit,badLoanGrossLoan,badLoanAsset,provisionBadLoan,financialHealth,netDebtEquity,currentRatio,quickRatio,interestCoverage,netDebtEBITDA
EFI,Real Estate Holding & Development,,,,,3.4,5,5,5,1,1
EIB,Banks,3,4,4,1,3.1,,,,,
EIC,Heavy Construction,,,,,4.2,5,5,5,1,5
EID,Publishing,,,,,4.6,5,4,4,5,5
EIN,Hotels,,,,,3.4,4,3,4,1,5
ELC,Telecommunications Equipment,,,,,4.6,5,5,5,3,5
EMC,Electronic Equipment,,,,,2.0,2,3,2,2,1
EME,Electronic Equipment,,,,,3.4,5,5,5,1,1
EMG,Electronic Equipment,,,,,3.2,4,5,5,1,1
EMS,Delivery Services,,,,,3.6,5,3,4,1,5
EPC,Soft Drinks,,,,,2.2,4,3,2,1,1
EPH,Publishing,,,,,2.8,5,3,4,1,1
EVE,Clothing & Accessories,,,,,4.8,4,5,5,5,5
EVF,Consumer Finance,1,3,4,2,2.4,,,,,
EVG,Heavy Construction,,,,,5.0,5,5,5,5,5
EVS,Investment Services,,,,,4.8,4,5,5,5,5
FBA,Furnishings,,,,,2.8,4,4,4,1,1
FBC,Industrial Machinery,,,,,2.6,5,3,3,1,1
FCC,Brewers,,,,,3.4,5,5,5,1,1
FCM,Building Materials & Fixtures,,,,,4.6,4,5,5,4,5
FCN,Heavy Construction,,,,,2.8,3,4,4,2,1
FCS,Food Products,,,,,2.8,5,1,2,1,5
FDC,Real Estate Holding & Development,,,,,3.4,5,4,5,1,2
FGL,Soft Drinks,,,,,2.8,4,1,2,2,5
FHN,Food Retailers & Wholesalers,,,,,3.6,3,3,2,5,5
FHS,Publishing,,,,,3.4,5,3,3,1,5
FIC,Building Materials & Fixtures,,,,,3.4,4,3,3,5,2
FID,Real Estate Services,,,,,4.2,5,5,5,1,5
FIR,Real Estate Holding & Development,,,,,4.8,4,5,5,5,5
FIT,Specialty Finance,,,,,4.2,4,5,5,5,2
FLC,Real Estate Holding & Development,,,,,2.8,3,2,3,1,5
