,result
2562,0
2563,-13
2564,0
2565,0
2566,-11
2567,0
2568,10
2569,-39
2570,116
2571,-12
2572,-812
2573,-4
2574,0
2575,21
2576,0
2577,-57
2578,0
2579,-50
2580,293
2581,0
2582,0
2583,-8
2584,0
2585,-568
2586,-2
2587,0
2588,8
2589,0
2590,-234
2591,-5
2592,0
2593,61
2594,-19
2595,0
2596,0
2597,0
2598,-12
2599,0
2600,0
2601,-6
2602,0
2603,-11
2604,-2
2605,-163
2606,-196
2607,0
2608,-18
2609,9
2610,-3
2611,-349
2612,-1
2613,-83
2614,-228
2615,33
2616,-22
2617,0
2618,0
2619,3
2620,0
2621,-52
2622,238
2623,0
2624,0
2625,-124
2626,-9
2627,-10
2628,-41
2629,0
2630,7
2631,0
2632,-6
2633,0
2634,-3
2635,99
2636,25
2637,0
2638,0
2639,0
2640,0
2641,4
2642,0
2643,-3
2644,0
2645,462
2646,-64
2647,0
2648,0
2649,-1
2650,6
2651,0
2652,-1
2653,1
2654,0
2655,0
2656,0
2657,-5
2658,-14
2659,0
2660,1697
2661,34
2662,168
2663,0
2664,0
2665,0
2666,0
2667,4
2668,10
2669,0
2670,0
2671,138
2672,-133
2673,0
2674,-72
2675,36
2676,-27
2677,-6
2678,-4
2679,0
2680,77
2681,-2
2682,240
2683,0
2684,0
2685,191
2686,-7
2687,-1
2688,-106
2689,516
2690,-12
2691,0
2692,0
2693,0
2694,0
2695,-2
2696,0
2697,0
2698,684
2699,18
2700,0
2701,-12
2702,465
2703,0
2704,-54
2705,-114
2706,-11
2707,0
2708,-1
2709,0
2710,619
2711,124
2712,134
2713,0
2714,-8
2715,5403
2716,0
2717,0
2718,-5
2719,-1
2720,8
2721,54
2722,0
2723,0
2724,0
2725,2
2726,0
2727,70
2728,0
2729,0
2730,0
2731,0
2732,0
2733,23
2734,-440
2735,18
2736,0
2737,-9
2738,-4
2739,0
2740,0
2741,0
2742,-24
2743,-13
2744,-2
2745,-10
2746,-4
2747,-130
2748,0
2749,50
2750,-1
2751,-1
2752,0
2753,-25
2754,0
2755,1274
2756,-27
2757,-56
2758,-7
2759,8
2760,0
2761,-1
2762,-3131
2763,-134
